sender,subject,body,label
Sarah Anderson,Project Update - Q4 Progress Report,"Hi! Here's the latest update on our Q4 initiatives. We've made significant progress on all fronts. The development team has completed the core features and is now focusing on optimization. The design team has finished the new UI mockups, and marketing is preparing the launch campaign. Looking forward to discussing this further in our meeting next week. Best regards, Sarah",ham
John Smith,Meeting Scheduled for Next Tuesday,"I've scheduled our meeting for next Tuesday at 2 PM in Conference Room B. Please confirm your attendance. The agenda includes: 1. Project roadmap review 2. Budget allocation 3. Team updates 4. AOB See you then!",ham
Emma Wilson,New Feature Suggestions from Users,"We've compiled a list of feature suggestions from our user feedback survey. Here are the top priorities: 1. Dark mode toggle 2. Export functionality 3. Mobile app 4. API access 5. Advanced search filters I've attached the full analysis with user counts and detailed feedback.",ham
Michael Brown,Client Presentation Tomorrow - Final Notes,"Just sending over the final presentation slides for tomorrow's client meeting. Everything looks great! Key talking points: - ROI metrics up 45% - Client retention improved - New market opportunities Looking forward to tomorrow!",ham
Jessica Lee,Code Review - Authentication Module,"Please review the latest changes to our authentication module. I've implemented OAuth2 support and improved error handling. Changes: - Added OAuth2 provider support - Improved error messages - Added unit tests (95% coverage) - Updated documentation All tests are passing. Ready to merge once you approve!",ham
David Martinez,Strategic Partnership Proposal,"I'd like to discuss a potential partnership opportunity that could benefit both our organizations. Proposed collaboration: - Joint product development - Shared marketing initiatives - Revenue sharing model I think this could be a win-win situation. Are you available for a call next week?",ham
Alex Rodriguez,Weekly Team Standby Meeting,"Hi team! Just a reminder that we have our weekly standup meeting tomorrow at 10 AM. Please prepare your updates on: - Current tasks - Blockers - Next week's plan See you then!",ham
Lisa Chen,Budget Review & Approval Needed,"The Q1 budget proposal requires your approval. The document includes detailed breakdowns for: - Development: $150K - Marketing: $75K - Operations: $50K - Contingency: $25K Please review and confirm by EOD Friday. Thanks!",ham
Robert Wilson,URGENT: System Outage - Immediate Action Required,"🚨 ALERT 🚨 Our main server is experiencing critical issues. All services are down. We are working to restore service immediately. If you have mission-critical tasks, please use the backup server. More updates coming soon.",ham
Jennifer Taylor,Quarterly Performance Review,"Your quarterly performance review is scheduled for next Monday at 3 PM. Please bring: - Your self-assessment - Key achievements - Goals for next quarter Looking forward to discussing your progress!",ham
CLICK HERE TO WIN $1000000,Congratulations You Are Our Lucky Winner!,"YOU HAVE WON!!! Click here to claim your prize immediately. This is a limited time offer. Do not miss this opportunity! Enter your credit card details below to proceed. WARNING: This is a common scam. Please do not respond.",spam
Limited Time Offer - 99% OFF,AMAZING DEAL - Viagra and Cialis Online,"Get prescription medications delivered to your door! No prescription needed! Amazing prices! Click here immediately: http://spam-site-12345.fake Our pharmacy is FDA approved (NOT REALLY). Order now!!!",spam
Nigerian Prince - Inheritance Awaits,I Need Your Help - $50 Million Available,"Hello, My name is Prince Abubakar. I have $50 million USD that I need to transfer to a safe account urgently. If you help me, I will give you 20% of the total! Simply send me your bank account details and I will begin the transfer. This is 100% legitimate!",spam
Get Free Money Now,Free Bitcoin - No Strings Attached,"Did you know you can earn free Bitcoin? Simply click the link below and create an account. You will be given free Bitcoin worth thousands of dollars! This is completely legitimate and there are no hidden fees. http://fake-crypto-scam.net",spam
Congratulations Winner,Your Amazon Account Has Been Compromised,"URGENT: Your Amazon account has been compromised! Click here immediately to verify your identity: http://fake-amazon-phishing.net Sign in with your username and password to restore access. Act fast before your account is locked!",spam
Unbelievable Weight Loss Secret,Doctors Hate This One Weird Trick,"Doctors HATE this one weird trick for weight loss! Lose 50 pounds in 2 weeks! This supplement is banned in 47 countries! Get yours now before it's too late! http://sketchy-supplement-site.net",spam
Make Money From Home,Work From Home - Earn $5000 Per Week,"Start your own business with just $50! Earn $5000 per week from home! No experience necessary! We are looking for 50 people to join our team TODAY! This is a legitimate opportunity (it's not). Send your credit card details below to get started!",spam
